Manufacturer,Model,Type,Fibre Quantity,Construction,Armor,Diameter,Sag Allowance,Helix Factor,Fibre Number Scheme,Bundle Number Scheme,Name
CORNING,ALTOS,Gel-Free,468,Loose Tube,PS,17.7,,,Default,Default,CORNING/468F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,492,Loose Tube,PS,17.7,,,Default,Default,CORNING/492F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,516,Loose Tube,PS,17.7,,,Default,Default,CORNING/516F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,540,Loose Tube,PS,17.7,,,Default,Default,CORNING/540F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,564,Loose Tube,PS,17.7,,,Default,Default,CORNING/564F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,588,Loose Tube,PS,20,,,Default,Default,CORNING/588F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,612,Loose Tube,PS,20,,,Default,Default,CORNING/612F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,636,Loose Tube,PS,20,,,Default,Default,CORNING/636F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,660,Loose Tube,PS,20,,,Default,Default,CORNING/660F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,684,Loose Tube,PS,20,,,Default,Default,CORNING/684F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,288,Loose Tube,PS,20,,,Default,Default,CORNING/288F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,12,Loose Tube,SJP,10.5,,,Default,Default,CORNING/12F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,36,Loose Tube,SJP,10.5,,,Default,Default,CORNING/36F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,72,Loose Tube,SJP,10.5,,,Default,Default,CORNING/72F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,108,Loose Tube,SJP,10.5,,,Default,Default,CORNING/108F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,144,Loose Tube,SJP,10.5,,,Default,Default,CORNING/144F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,180,Loose Tube,SJP,10.5,,,Default,Default,CORNING/180F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,216,Loose Tube,SJP,12.2,,,Default,Default,CORNING/216F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,252,Loose Tube,SJP,12.2,,,Default,Default,CORNING/252F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,288,Loose Tube,SJP,15.8,,,Default,Default,CORNING/288F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,324,Loose Tube,SJP,15.8,,,Default,Default,CORNING/324F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,360,Loose Tube,SJP,15.8,,,Default,Default,CORNING/360F/Gel-Free/SJP
CORNING,ALTOS,Gel-Free,396,Loose Tube,SJP,15.8,,,Default,Default,CORNING/396F/Gel-Free/SJP
DRAKA,ezPREP,Gel-Free,12,Loose Tube,PDP,11.7,,,Default,Default,DRAKA/12F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,60,Loose Tube,PDP,11.7,,,Default,Default,DRAKA/60F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,108,Loose Tube,PDP,11.7,,,Default,Default,DRAKA/108F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,156,Loose Tube,PDP,11.7,,,Default,Default,DRAKA/156F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,204,Loose Tube,PDP,11.7,,,Default,Default,DRAKA/204F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,252,Loose Tube,PDP,12.2,,,Default,Default,DRAKA/252F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,300,Loose Tube,PDP,13,,,Default,Default,DRAKA/300F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,348,Loose Tube,PDP,13.8,,,Default,Default,DRAKA/348F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,396,Loose Tube,PDP,14.8,,,Default,Default,DRAKA/396F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,444,Loose Tube,PDP,15.4,,,Default,Default,DRAKA/444F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,492,Loose Tube,PDP,16.3,,,Default,Default,DRAKA/492F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,540,Loose Tube,PDP,17.1,,,Default,Default,DRAKA/540F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,588,Loose Tube,PDP,17.1,,,Default,Default,DRAKA/588F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,636,Loose Tube,PDP,14.5,,,Default,Default,DRAKA/636F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,684,Loose Tube,PDP,14.5,,,Default,Default,DRAKA/684F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,732,Loose Tube,PDP,14.5,,,Default,Default,DRAKA/732F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,780,Loose Tube,PDP,14.5,,,Default,Default,DRAKA/780F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,828,Loose Tube,PDP,14.5,,,Default,Default,DRAKA/828F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,876,Loose Tube,PDP,18.7,,,Default,Default,DRAKA/876F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,924,Loose Tube,PDP,18.7,,,Default,Default,DRAKA/924F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,972,Loose Tube,PDP,18.7,,,Default,Default,DRAKA/972F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,1020,Loose Tube,PDP,18.7,,,Default,Default,DRAKA/1020F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,1068,Loose Tube,PDP,19.8,,,Default,Default,DRAKA/1068F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,1116,Loose Tube,PDP,19.8,,,Default,Default,DRAKA/1116F/Gel-Free/PDP
DRAKA,ezPREP,Gel-Free,36,Loose Tube,PS,12.2,,,Default,Default,DRAKA/36F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,84,Loose Tube,PS,12.2,,,Default,Default,DRAKA/84F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,132,Loose Tube,PS,12.2,,,Default,Default,DRAKA/132F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,180,Loose Tube,PS,12.2,,,Default,Default,DRAKA/180F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,228,Loose Tube,PS,13,,,Default,Default,DRAKA/228F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,276,Loose Tube,PS,14,,,Default,Default,DRAKA/276F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,324,Loose Tube,PS,15,,,Default,Default,DRAKA/324F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,372,Loose Tube,PS,15.8,,,Default,Default,DRAKA/372F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,420,Loose Tube,PS,16.8,,,Default,Default,DRAKA/420F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,468,Loose Tube,PS,17.6,,,Default,Default,DRAKA/468F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,516,Loose Tube,PS,18.6,,,Default,Default,DRAKA/516F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,564,Loose Tube,PS,18.6,,,Default,Default,DRAKA/564F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,612,Loose Tube,PS,18.6,,,Default,Default,DRAKA/612F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,660,Loose Tube,PS,18.6,,,Default,Default,DRAKA/660F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,708,Loose Tube,PS,18.6,,,Default,Default,DRAKA/708F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,756,Loose Tube,PS,18.6,,,Default,Default,DRAKA/756F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,804,Loose Tube,PS,18.6,,,Default,Default,DRAKA/804F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,852,Loose Tube,PS,20.6,,,Default,Default,DRAKA/852F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,900,Loose Tube,PS,20.6,,,Default,Default,DRAKA/900F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,948,Loose Tube,PS,20.6,,,Default,Default,DRAKA/948F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,996,Loose Tube,PS,20.6,,,Default,Default,DRAKA/996F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,1044,Loose Tube,PS,21.4,,,Default,Default,DRAKA/1044F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,1092,Loose Tube,PS,21.4,,,Default,Default,DRAKA/1092F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,432,Loose Tube,PS,20.3,,,Default,Default,DRAKA/432F/Gel-Free/PS
DRAKA,ezPREP,Gel-Free,12,Loose Tube,PSP,13.8,,,Default,Default,DRAKA/12F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,48,Loose Tube,PSP,13.8,,,Default,Default,DRAKA/48F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,96,Loose Tube,PSP,13.8,,,Default,Default,DRAKA/96F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,144,Loose Tube,PSP,13.8,,,Default,Default,DRAKA/144F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,192,Loose Tube,PSP,13.8,,,Default,Default,DRAKA/192F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,240,Loose Tube,PSP,14.5,,,Default,Default,DRAKA/240F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,288,Loose Tube,PSP,15.5,,,Default,Default,DRAKA/288F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,336,Loose Tube,PSP,16.6,,,Default,Default,DRAKA/336F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,384,Loose Tube,PSP,17.3,,,Default,Default,DRAKA/384F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,432,Loose Tube,PSP,18.3,,,Default,Default,DRAKA/432F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,480,Loose Tube,PSP,19.1,,,Default,Default,DRAKA/480F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,528,Loose Tube,PSP,20.1,,,Default,Default,DRAKA/528F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,576,Loose Tube,PSP,20.1,,,Default,Default,DRAKA/576F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,624,Loose Tube,PSP,20.1,,,Default,Default,DRAKA/624F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,672,Loose Tube,PSP,20.1,,,Default,Default,DRAKA/672F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,720,Loose Tube,PSP,20.1,,,Default,Default,DRAKA/720F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,768,Loose Tube,PSP,20.1,,,Default,Default,DRAKA/768F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,816,Loose Tube,PSP,20.1,,,Default,Default,DRAKA/816F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,864,Loose Tube,PSP,22.1,,,Default,Default,DRAKA/864F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,912,Loose Tube,PSP,22.1,,,Default,Default,DRAKA/912F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,960,Loose Tube,PSP,22.1,,,Default,Default,DRAKA/960F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,1008,Loose Tube,PSP,22.1,,,Default,Default,DRAKA/1008F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,1056,Loose Tube,PSP,22.9,,,Default,Default,DRAKA/1056F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,1104,Loose Tube,PSP,22.9,,,Default,Default,DRAKA/1104F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,432,Loose Tube,PSP,22.1,,,Default,Default,DRAKA/432F/Gel-Free/PSP
DRAKA,ezPREP,Gel-Free,12,Loose Tube,SP,12.2,,,Default,Default,DRAKA/12F/Gel-Free/SP
DRAKA,ezPREP,Gel-Free,12,Loose Tube,TJP,10.6,,,Default,Default,DRAKA/12F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,24,Loose Tube,TJP,10.6,,,Default,Default,DRAKA/24F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,72,Loose Tube,TJP,10.6,,,Default,Default,DRAKA/72F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,120,Loose Tube,TJP,10.6,,,Default,Default,DRAKA/120F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,168,Loose Tube,TJP,10.6,,,Default,Default,DRAKA/168F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,216,Loose Tube,TJP,11.5,,,Default,Default,DRAKA/216F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,264,Loose Tube,TJP,12.3,,,Default,Default,DRAKA/264F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,312,Loose Tube,TJP,13.4,,,Default,Default,DRAKA/312F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,360,Loose Tube,TJP,14.2,,,Default,Default,DRAKA/360F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,408,Loose Tube,TJP,15.1,,,Default,Default,DRAKA/408F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,456,Loose Tube,TJP,16.1,,,Default,Default,DRAKA/456F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,504,Loose Tube,TJP,16.9,,,Default,Default,DRAKA/504F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,552,Loose Tube,TJP,16.9,,,Default,Default,DRAKA/552F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,600,Loose Tube,TJP,16.9,,,Default,Default,DRAKA/600F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,648,Loose Tube,TJP,16.9,,,Default,Default,DRAKA/648F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,696,Loose Tube,TJP,16.9,,,Default,Default,DRAKA/696F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,744,Loose Tube,TJP,16.9,,,Default,Default,DRAKA/744F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,792,Loose Tube,TJP,16.9,,,Default,Default,DRAKA/792F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,840,Loose Tube,TJP,18.9,,,Default,Default,DRAKA/840F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,888,Loose Tube,TJP,18.9,,,Default,Default,DRAKA/888F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,936,Loose Tube,TJP,18.9,,,Default,Default,DRAKA/936F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,984,Loose Tube,TJP,18.9,,,Default,Default,DRAKA/984F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,1032,Loose Tube,TJP,19.6,,,Default,Default,DRAKA/1032F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,1080,Loose Tube,TJP,19.6,,,Default,Default,DRAKA/1080F/Gel-Free/TJP
DRAKA,ezPREP,Gel-Free,432,Loose Tube,TJP,18.6,,,Default,Default,DRAKA/432F/Gel-Free/TJP
SUMITOMO,LITEPIPE ARMOLUX,Gel-Filled,6,Ribbon,SP,14,,,Default,Default,SUMITOMO/6F/Gel-Filled/SP
SUMITOMO,LITEPIPE ARMOLUX,Gel-Filled,12,Ribbon,SP,14,,,Default,Default,SUMITOMO/12F/Gel-Filled/SP
NTL,LITETUBE,Other,6,Loose Tube,PSP,,,,Default,Default,NTL/6F/Other/PSP
NTL,LITETUBE,Other,8,Loose Tube,PSP,,,,Default,Default,NTL/8F/Other/PSP
NTL,LITETUBE,Other,12,Loose Tube,PSP,,,,Default,Default,NTL/12F/Other/PSP
NTL,LITETUBE,Other,12,Loose Tube,PSP,,,,Default,Default,NTL/12F/Other/PSP
NTL,LITETUBE,Other,16,Loose Tube,PSP,,,,Default,Default,NTL/16F/Other/PSP
NTL,LITETUBE,Other,16,Loose Tube,PSP,,,,Default,Default,NTL/16F/Other/PSP
NTL,LITETUBE,Other,20,Loose Tube,PSP,,,,Default,Default,NTL/20F/Other/PSP
NTL,LITETUBE,Other,20,Loose Tube,PSP,,,,Default,Default,NTL/20F/Other/PSP
NTL,LITETUBE,Other,44,Loose Tube,PSP,,,,Default,Default,NTL/44F/Other/PSP
