Manufacturer,Model,Type,Fibre Quantity,Construction,Armor,Diameter,Sag Allowance,Helix Factor,Fibre Number Scheme,Bundle Number Scheme,Name
ALCATEL,Not Provided,Other,18,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/18F/Other/PSP
ALCATEL,Not Provided,Other,20,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/20F/Other/PSP
ALCATEL,Not Provided,Other,20,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/20F/Other/PSP
ALCATEL,Not Provided,Other,24,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/24F/Other/PSP
ALCATEL,Not Provided,Other,24,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/24F/Other/PSP
ALCATEL,Not Provided,Other,28,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/28F/Other/PSP
ALCATEL,Not Provided,Other,32,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/32F/Other/PSP
ALCATEL,Not Provided,Other,32,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/32F/Other/PSP
ALCATEL,Not Provided,Other,32,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/32F/Other/PSP
ALCATEL,Not Provided,Other,32,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/32F/Other/PSP
ALCATEL,Not Provided,Other,36,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/36F/Other/PSP
ALCATEL,Not Provided,Other,36,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/36F/Other/PSP
ALCATEL,Not Provided,Other,48,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/48F/Other/PSP
ALCATEL,Not Provided,Other,48,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/48F/Other/PSP
ALCATEL,Not Provided,Other,52,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/52F/Other/PSP
ALCATEL,Not Provided,Other,60,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/60F/Other/PSP
ALCATEL,Not Provided,Other,64,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/64F/Other/PSP
ALCATEL,Not Provided,Other,64,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/64F/Other/PSP
ALCATEL,Not Provided,Other,80,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/80F/Other/PSP
ALCATEL,Not Provided,Other,84,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/84F/Other/PSP
ALCATEL,Not Provided,Other,88,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/88F/Other/PSP
ALCATEL,Not Provided,Other,96,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/96F/Other/PSP
ALCATEL,Not Provided,Other,96,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/96F/Other/PSP
ALCATEL,Not Provided,Other,108,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/108F/Other/PSP
ALCATEL,Not Provided,Other,112,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/112F/Other/PSP
ALCATEL,Not Provided,Other,120,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/120F/Other/PSP
ALCATEL,Not Provided,Other,144,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/144F/Other/PSP
ALCATEL,Not Provided,Other,192,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/192F/Other/PSP
CORNING,Not Provided,Other,8,Drop,SJP,,,,Default,Default,CORNING/8F/Other/SJP
CORNING,Not Provided,Other,12,Drop,SJP,,,,Default,Default,CORNING/12F/Other/SJP
ALCATEL,Not Provided,Other,72,LOOSETUBE,SJP,,,,Default,Default,ALCATEL/72F/Other/SJP
ALCATEL,Not Provided,Other,156,Loose Tube,SP,,,,Default,Default,ALCATEL/156F/Other/SP
ALCATEL,Not Provided,Other,24,LOOSETUBE,SP,,,,Default,Default,ALCATEL/24F/Other/SP
ALCATEL,Not Provided,Other,36,LOOSETUBE,SP,,,,Default,Default,ALCATEL/36F/Other/SP
ALCATEL,Not Provided,Other,168,LOOSETUBE,SP,,,,Default,Default,ALCATEL/168F/Other/SP
ALCATEL,Not Provided,Other,288,LOOSETUBE,SP,,,,Default,Default,ALCATEL/288F/Other/SP
ALCATEL,Not Provided,Other,12,Micro Unitube,SP,,,,Default,Default,ALCATEL/12F/Other/SP
ALCATEL,Not Provided,Other,4,MICROUNITUBE,SP,,,,Default,Default,ALCATEL/4F/Other/SP
ALCATEL,Not Provided,Other,4,MICROUNITUBE,SP,,,,Default,Default,ALCATEL/4F/Other/SP
ALCATEL,Not Provided,Other,6,MICROUNITUBE,SP,,,,Default,Default,ALCATEL/6F/Other/SP
ALCATEL,Not Provided,Other,8,MICROUNITUBE,SP,,,,Default,Default,ALCATEL/8F/Other/SP
ALCATEL,Not Provided,Gel-Free,48,UNITUBE,SP,,,,Default,Default,ALCATEL/48F/Gel-Free/SP
ALCATEL,Not Provided,Other,6,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/6F/Other/TJP
ALCATEL,Not Provided,Other,12,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/12F/Other/TJP
ALCATEL,Not Provided,Other,16,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/16F/Other/TJP
ALCATEL,Not Provided,Other,18,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/18F/Other/TJP
ALCATEL,Not Provided,Other,24,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/24F/Other/TJP
ALCATEL,Not Provided,Other,24,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/24F/Other/TJP
ALCATEL,Not Provided,Other,36,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/36F/Other/TJP
ALCATEL,Not Provided,Other,48,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/48F/Other/TJP
ALCATEL,Not Provided,Other,72,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/72F/Other/TJP
ALCATEL,Not Provided,Other,84,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/84F/Other/TJP
ALCATEL,Not Provided,Other,96,LOOSETUBE,TJP,,,,Default,Default,ALCATEL/96F/Other/TJP
ALCATEL,Not Provided,Other,168,LOOSETUBE,Unknown,,,,Default,Default,ALCATEL/168F/Other/Unknown
CORNING,Not Provided,Other,12,Central Tube,Unknown,,,,Default,Default,CORNING/12F/Other/Unknown
SIECOR,Not Provided,Other,4,Loose Tube,Unknown,,,,Default,Default,SIECOR/4F/Other/Unknown
SIECOR,Not Provided,Other,6,Loose Tube,Unknown,,,,Default,Default,SIECOR/6F/Other/Unknown
SIECOR,Not Provided,Other,12,Loose Tube,Unknown,,,,Default,Default,SIECOR/12F/Other/Unknown
CORNING,Not Provided,Other,1,Pigtail,Unknown,,,,Default,Default,CORNING/1F/Other/Unknown
CORNING,Not Provided,Other,1,Pigtail,Unknown,,,,Default,Default,CORNING/1F/Other/Unknown
CORNING,Not Provided,Other,1,Pigtail,Unknown,,,,Default,Default,CORNING/1F/Other/Unknown
CORNING,Not Provided,Other,1,Pigtail,Unknown,,,,Default,Default,CORNING/1F/Other/Unknown
CORNING,Not Provided,Other,1,Pigtail,Unknown,,,,Default,Default,
