"14.514869444","35.815369444","CABN_BB_0045",""
"14.512869444","35.812533333","CABN_BB_0046",""
"0","0","CABN_BB_0060",""
"14.529713889","35.826227778","CABN_BB_0066",""
"14.528202778","35.826502778","CABN_BB_0067",""
"14.526997222","35.825166667","CABN_BB_0068",""
"14.527880556","35.823763889","CABN_BB_0069",""
"14.528138889","35.822777778","CABN_BB_0070",""
"14.528538889","35.820938889","CABN_BB_0071",""
"0","0","CABN_BB_0093",""
"14.545227778","35.834502778","CABN_BB_0135",""
"14.5422","35.839675","CABN_BB_0136",""
"14.541505556","35.840311111","CABN_BB_0137",""
"14.543461111","35.840694444","CABN_BB_0138",""
"14.543938889","35.842475","CABN_BB_0139",""
"14.546211111","35.842341667","CABN_BB_0140",""
"14.543736111","35.842483333","CABN_BB_0141",""
"14.529938889","35.816622222","CABN_BB_0189",""
"14.526547222","35.820341667","CABN_BB_0193",""
"14.503038889","35.82305","CABN_BB_0195",""
"14.506872222","35.820375","CABN_BB_0196",""
"14.5326","35.832986111","CABN_BB_0206",""
"14.534733333","35.833533333","CABN_BB_0207",""
"14.52945","35.8276","CABN_BB_0216",""
"14.526713889","35.826341667","CABN_BB_0217",""
"14.534541667","35.833344444","CABN_BB_0225",""
"14.477202778","35.884466667","CABN_BK_0001",""
"14.477072222","35.880611111","CABN_BK_0002",""
"14.477225","35.878305556","CABN_BK_0003",""
"14.475277778","35.878313889","CABN_BK_0004",""
"14.475919444","35.875991667","CABN_BK_0005",""
"14.47375","35.880175","CABN_BK_0006",""
"14.470894444","35.880005556","CABN_BK_0007",""
"14.469433333","35.879794444","CABN_BK_0008",""
"14.471122222","35.878572222","CABN_BK_0009",""
"14.477647222","35.881758333","CABN_BK_0012",""
"14.4799","35.881511111","CABN_BK_0013",""
"0","0","CABN_BK_0014",""
"14.477","35.879341667","CABN_BK_0016",""
"14.478716667","35.878663889","CABN_BK_0017",""
"14.476783333","35.875244444","CABN_BK_0018",""
"14.469730556","35.883786111","CABN_BK_0019",""
"14.467883333","35.884127778","CABN_BK_0020",""
"0","0","CABN_BK_0023",""
"14.478322222","35.894388889","CABN_BK_0025",""
"14.473588889","35.8957","CABN_BK_0026",""
"14.469136111","35.895002778","CABN_BK_0027",""
"14.461791667","35.895413889","CABN_BK_0028",""
"14.459455556","35.898219444","CABN_BK_0029",""
"14.459736111","35.900738889","CABN_BK_0030",""
"14.456955556","35.90095","CABN_BK_0031",""
"14.455302778","35.897291667","CABN_BK_0040",""
"14.451788889","35.898355556","CABN_BK_0041",""
"14.454847222","35.895852778","CABN_BK_0042",""
"14.472686111","35.890641667","CABN_BK_0043",""
"14.477875","35.888855556","CABN_BK_0044",""
"0","0","CABN_BK_0045",""
"14.472733333","35.902836111","CABN_BK_0056",""
"14.469944444","35.894305556","CABN_BK_0065",""
"14.478577778","35.895002778","CABN_BK_0066",""
"14.466955556","35.896266667","CABN_BK_0067",""
"14.467436111","35.897941667","CABN_BK_0068",""
"14.465519444","35.897758333","CABN_BK_0069",""
"14.463133333","35.897408333","CABN_BK_0070",""
"14.465911111","35.899727778","CABN_BK_0071",""
"14.464516667","35.899983333","CABN_BK_0072",""
"14.464233333","35.900580556","CABN_BK_0073",""
"14.463636111","35.901277778","CABN_BK_0074",""
"14.463772222","35.901294444","CABN_BK_0075",""
"14.467102778","35.900902778","CABN_BK_0076",""
"14.469088889","35.898775","CABN_BK_0077",""
"14.472586111","35.897625","CABN_BK_0078",""
"14.47125","35.899086111","CABN_BK_0079",""
"14.470802778","35.899627778","CABN_BK_0080",""
"14.471905556","35.900952778","CABN_BK_0081",""
"14.473141667","35.89745","CABN_BK_0082",""
"0","0","CABN_BK_0095",""
"14.473152778","35.882794444","CABN_BK_0097",""
"14.472097222","35.88125","CABN_BK_0098",""
"14.465994444","35.880436111","CABN_BK_0099",""
"14.464888889","35.880666667","CABN_BK_0100",""
"14.471636111","35.878352778","CABN_BK_0101",""
"14.470133333","35.876911111","CABN_BK_0102",""
"14.470994444","35.876283333","CABN_BK_0103",""
"14.474286111","35.885219444","CABN_BK_0107",""
"14.470736111","35.871216667","CABN_BK_0108",""
"14.461905556","35.898494444","CABN_BK_0112",""
"14.45965","35.898633333","CABN_BK_0113",""
"14.459719444","35.900738889","CABN_BK_0114",""
"14.457702778","35.900911111","CABN_BK_0115",""
"14.457438889","35.900083333","CABN_BK_0116",""
"14.452880556","35.900955556","CABN_BK_0119",""
"14.455086111","35.898736111","CABN_BK_0120",""
"14.448419444","35.898338889","CABN_BK_0121",""
"14.451166667","35.894438889","CABN_BK_0122",""
"14.473533333","35.888963889","CABN_BK_0125",""
"14.473838889","35.88815","CABN_BK_0126",""
"14.475897222","35.886386111","CABN_BK_0127",""
"14.477952778","35.887375","CABN_BK_0128",""
"14.4801","35.890913889","CABN_BK_0129",""
"14.48055","35.891725","CABN_BK_0130",""
"14.475344444","35.893338889","CABN_BK_0131",""
"14.473869444","35.893616667","CABN_BK_0132",""
"14.473722222","35.894477778","CABN_BK_0133",""
"14.470780556","35.893144444","CABN_BK_0134",""
"14.469533333","35.893791667","CABN_BK_0135",""
"14.465616667","35.894172222","CABN_BK_0136",""
"14.464127778","35.893319444","CABN_BK_0137",""
"14.461833333","35.895452778","CABN_BK_0138",""
"14.461144444","35.893533333","CABN_BK_0139",""
"14.457366667","35.895747222","CABN_BK_0140",""
"14.467169444","35.890536111","CABN_BK_0151",""
"14.460722222","35.892844444","CABN_BK_0152",""
"14.465877778","35.890144444","CABN_BK_0153",""
"0","0","CABN_CA_0000",""
